autor	název	originál	přečteno	originál vydáno	imglink	tagy	popis
Paul Karl Feyerabend	Tři dialogy o vědění	Three Dialogues on Knowledge	2004	1991	80-85977-04-4.jpg	filozofie	Tři dialogy o vědomí jsou první autorovou knihou přeloženou do češtiny. Jemná ironie v dokonale dramaticky vystavěných dialozích.
Richard Appignanesi, Oscar Zarate	Freud	Freud	2004	1979	80-7178-850-3.jpg	psychologie	Kniha Freud představuje odlehčenou, současně však fundovanou formou komiksu příběh Freudova života a historii vzniku základních psychoanalytických teorií.Umožňuje čtenáři udělat si představu o jeho dětství a výchově ve Vídni v 19. stol., o jeho počáteční lékařské praxi a experimentech s kokainem a sledovat vývoj jeho teorií týkajících se nevědomí, snů či sexuality. Díky fundovanému kritickému textu a důmyslným ilustracím se kniha stala uznávaným úvodem do života a díla S. Freuda a byla přeložena do řady jazyků.
Fritjof Capra	Tao fyziky	The Tao of Physics	2004	1975	80-7287-066-1.jpg	věda, filozofie	Známý americký fyzik rakouského původu působící na Kalifornské universitě v Berkeley, se už více než dvacet pět let kromě své úzké specializace v kvantové fyzice zaměřuje ještě na jedno ústřední téma: na základní změnu světonázoru, ke které dnes dochází ve vědě i v lidské společnosti, na odhalení nové vize reality a na sociální důsledky této kulturní přeměny.
Descartes	Rozprava o metodě	Discours de la méthod	2004	1637	80-205-0216-5.jpg	filozofie	Rozprava o metodě, vrcholné dílo Reného Descarta, byla vydána roku 1637 v Leidenu. Roku 1656 byla v Amsterdamu přeložena z francouzštiny do latiny. Plný titul knihy zní Rozprava o metodě, jak správně vést svůj rozum a hledat pravdu ve vědách (francouzsky Discours de la méthode pour bien conduire sa raison, et chercher la verité dans les sciences). Její první vydání bylo anonymní, protože Descartes měl obavy ze záporných reakcí na své revoluční názory, které v knize popsal. v době procesů s Galileem Galileim a dalších byly takové obavy namístě.
Carlos Castaneda	Síla ticha	The Power of Silence: Further Lessons of Don Juan	2004	1987	80-7207-179-3.jpg	beletrie, duchovní, šamanismus	Don Juan vypráví příběhy o čarodějích minulosti, aby Castanedovi objasnil abstraktní jádro svého učení. Tyto příběhy nemají nic racionálně vysvětlovat. Jejich cílem je otevřít Castanedovu mysl vůči tomu, čemu toltécká tradice říká duch.
Carlos Castaneda	Umění snít	The Art of Dreaming	2004	1993	80-7207-202-1.jpg	beletrie, duchovní, šamanismus	Don Juan kdysi nazval snění čarodějů 'bránou k nekonečnu', která snivci otevírá jiné skutečnosti. Toto snění neznamená něco si přát a snít o tom, nejde o obyčejné sny. Castanedovi trvalo patnáct let, než prolomil hranici druhé pozornosti a poznal kontinuitu don Juanova učení, kterou mu zastíralo neustálé přecházení z jedné pozornosti do druhé. 'Umění snít' odkrývá tento nový vhled do světa čarodějů a popisuje první čtyři brány, jimiž snivec na své pouti prochází za hranice tohoto světa.
Carlos Castaneda	Aktivní tvář nekonečna	The Active Side of Infinity	2004	1999	80-7207-521-7.jpg	beletrie, duchovní, šamanismus	Patrně poslední kniha o podivuhodném světě šamanů, ve které se Carlos Castaneda vyrovnává s během svého vlastního života. Zatímco v knize Kolo času shrnul to, co jako červená nit propojovalo všechny proslovy jeho indiánského učitele, v knize Aktivní tvář nekonečna se vrací sám k sobě. Popisuje v ní nejdůležitější události svého života a jejich dopad na své putování na cestě poznání. Jde patrně o nejosobnější ze všech Castanedových knih.
Milan Kundera	Valčík na rozloučenou	Valčík na rozloučenou	2004	1972	978-80-7108-296-5.jpg	beletrie	Románový příběh o lásce a smrti, lidské slabosti a sobectví, zasazený do prostředí socialistického státu po ukončení Stalinských čistek.
Joanne Greenberg	Neslibovala jsem ti procházku růžovým sadem	I Never Promised You a Rose Garden	2004	1964	80-85875-52-7.jpg	psychologie, biografie	Stěží někdo dokázal popsat onen podivný svět duševní nemoci otevřeněji a krásněji, než jak to dokázala Joanne Greenbergová v tomto románu v oslnivém příběhu vyprávějícím o třech letech, která mladá dívka strávila v léčebném zařízení pro duševně choré, a o jejím návratu ze světa šílenství do světa skutečnosti. Kniha je autobiografickým příběhem duševně nemocné dívky, která se díky psychoterapii vyléčí. Je napsána s velkou citlivostí i hlubokým psychologickým ponorem, a protože vyrůstá z autorčiny trýznivé zkušenosti s psychotický onemocněním, je působivou a autentickou výpovědí o kořenech a historii jejího onemocnění i o její léčbě a procesu uzdravování. Autorka, která byla jako šestnáctiletá dívka léčena psychoanalytičkou dr. Friedou Fromm-Reichmannovou, podává dramatické a přesvědčivé svědectví o psychoterapeutické léčbě, která byla prováděna v době, kdy ještě na psychiatrii nebyly k dispozici antipsychotické léky. Z autorčina svědectví vyzařuje obdiv a láska k dr. Friedě Fromm-Reichmannové, která byla zakladatelkou americké interpersonální školy v psychoanalýze a průkopnicí dlouhodobé psychoanalytické psychoterapie psychotických pacientů. Tato žena byla známá svým tvořivým a hluboce empatickým přístupem k psychotickým pacientům, pro jejichž prožívání měla nevšední porozumění.
Pavel Kosatík	Člověk má dělat to, nač má sílu	Člověk má dělat to, nač má sílu	2004	1997	978-80-204-1955-2.jpg	biografie	Životopis Olgy Havlové přináší množství podrobností, které dosud nebyly zveřejněny.
Irvin David Yalom	Láska a její kat	Love's Executioner	2004	1989	80-7367-193-X.jpg	psychologie, psychoterapie	Dnes již klasický bestseller autora povídek z psychoterapeutické praxe. Yalom v této knize vypráví příběhy deseti pacientů, kteří hledali v psychoterapii pomoc k zvládnutí běžných problémů každodenního života. V průběhu terapie se podařilo odhalit hluboké kořeny jejich každodenních problémů – kořeny sahající hluboko až k samé podstatě existence. Kniha odhaluje touhy a motivace lidské duše a zároveň nechává nahlédnout tajemství, frustrace, patos i humor objevující se v terapeutickém vztahu.
David Hume	Zkoumání o lidském rozumu	An Enquiry Concerning Human Understanding	2004	1784	80-205-0521-0.jpg	filozofie	Zkoumání o lidském rozumu je kniha skotského filosofa Davida Huma z roku 1748. Je zjednodušenou verzí jeho hlavního díla Pojednání o lidské přirozenosti. Jedná se o jedno ze základních děl novověké filozofie.
Platon	Faidon	Φαίδων	2004	-350	80-7298-158-7.jpg	filozofie	Dialog, který líčí poslední den Platónova učitele a přítele Sókrata, jenž – odsouzen na smrt za bezbožnost a kažení athénské mládeže a čekající v žaláři na podání číše bolehlavu – strávil tak, že se svými přáteli rozmlouval o nesmrtelnosti duše, která se tak stává tématem dialogu
Paul Karl Feyerabend	Rozprava proti metodě	Against Method	2004	1975	80-7299-047-0.jpg	filozofie	Stěžejní dílo rakouského filozofa Paula Feyerabenda Rozpravy proti metodě vzbudilo senzaci již v roce 1975, kdy se po jeho prvním uveřejnění ostře rozdělil tábor jeho příznivců a odpůrců, kteří začali plnit stránky časopisů svými polemikami. Feyerabend byl označován za postmodernistu, relativistu a radikálního subjektivistu, z jeho prací se citovala paradoxní tvrzení i slogany typu „anything goes“. Dějiny vědy jsou tradičně klasifikovány jako proces neustálého opravování kritérií správnosti poznání, Feyerabend však upozorňuje, že právě proces „objevování“ obsahuje mnoho zkusmého, neurčitého. objev může být plný osobních prvků a náhod - i když to, co bylo objeveno touto „iracionální cestou“, je třeba následně podrobit objektivnímu testu. Podle Feyerabenda byly nejvýznamnější objevy učiněny díky porušení pravidel uvažování, tehdy, když se vědec dokázal oprostit od vžitých konvencí myšlení. Mnohorozměrnost skutečnosti nelze podle něj vyčerpat a zahrnout pod jeden přístup, ani ho pokrýt jedinou výlučnou metodou. Filozofický výklad Rozpravy proti metodě je podán poutavě, srozumitelně a zaujme především lidi nepředpojatého myšlení přístupné novým názorům. Přestože je dnes Feyerabend považován za jednoho z nejvýznamnějších filozofů 20. století, česky vyšla zatím jeho jediná kniha - Tři dialogy o vědění. Nejen proto je české vydání nejznámějšího Feyerabendova díla Rozpravy proti metodě, které vyšlo již v osmnácti jazycích, významným počinem.
Paulo Coelho	Poutník	O Diário de um Mago	2004	1987	978-80-257-0282-6.jpg	beletrie	U příležitosti Svatojakubského roku 2010 vychází v grafické úpravě prestižní výtvarnice Cataliny Estrada nové vydání Coelhova prvního románu, v němž autor líčí svou pěší pouť do Santiaga de Compostela a získanou duchovní zkušenost. Po stopách středověkých poutníků se Paulo pdo vedením tajemného Petra, svého mistra, vydává hledat meč, který mu byl už jednou pro přílišnou pýchu a posedlost zázraky odepřen a ukryt kdesi na Svatojakubské cestě. Během náročných zkoušek se vyvíjí i složitý vztah učeníka a mistra ve vzájemném dávání a přijímání.
Erich Fromm	Umění milovat	The Art of Loving	2004	1957	11-023-66.jpg	psychologie, filozofie	Titul vyšel v roce 1956 a stal se nejen jedním z nejpopulárnějších Frommových děl, ale i nejvýznamnějším odborným pojednáním o lásce jako základním fenoménu lidského života.
Richard Osborne, Borin Van Loon	Sociologie	Introducing Sociology	2004	1996	978-80-7367-258-4.jpg	socio-ekonomie	Sociologie je (zjednodušeně řečeno)studiem toho, jak společnost funguje, nebo v některých případech nefunguje.Různé sociologické školy přitom z pozorování sociálních fenoménů vyvodily různé konceptuální systémy. Kniha Sociologie mapuje počáteční vývoj tohoto oboru od osvícenství a pionýrskou práci Augusta Comta až po osobnosti Karla Marxe, Herberta Spencera, Emila Durkheima či Maxe Webera. Srozumitelnou a na informace bohatou formou pak ukazuje rychlý rozvoj americké a britské sociologie ve dvacátém století, poválečný vliv Talcotta Parsonse, Chicagskou školu nebo vliv strukturalismu. Čtenář se tak může seznámit se základními výzkumnými koncepty a metodami, které byly a jsou při studiu společnosti a jejích fenoménů využívány.
Fritjof Capra	Tkáň života: nová syntéza mysli a hmoty	The Web of Life. A New Synthesis of Mind and Matter	2004	1996	80-200-1169-2.jpg	věda, filozofie	Teoretický a kvantový fyzik Fritjof Capra, přední světový autor knih z oblasti filozofie vědy a udržitelného života (např. Tao fyziky a Bod obratu), předkládá osnovu nově vznikající vědecké teorie života. Tato teorie se opírá o kritický rozbor historie přírodních věd, o matematiku komplexity a zejména o teorii disipativních struktur a teorii sebeutváření. Zdůrazňuje nutnost holistického vidění světa a přechodu k systémovému přístupu, tedy k chápání světa jako sítě vzájemně propojených a na sebe působících vztahů – od buněk a pletiv přes organismy, ekosystémy a sociální systémy až k planetárnímu systému Gaia. Kniha je neocenitelným pramenem informací a myšlenkových podnětů pro toho, kdo se zajímá o interdisciplinární oblast biologie a teoretické fyziky a snaží se najít uspokojivé vysvětlení jednoty živé a neživé přírody a filozofický základ pro vytváření trvale udržitelné společnosti.
Břetislav Fajkus	filozofie a metodologie vědy: Vývoj, současnost, perspektivy	filozofie a metodologie vědy: Vývoj, současnost, perspektivy	2005	2005	80-200-1304-0.jpg	filozofie	filozofie vědy v současné době představuje hlavní proud filosofického myšlení. Vývoj vědy, a s ní spjaté techniky a technologie dosáhl takové úrovně, že filozofie se nemůže fenoménu vědy vyhnout a musí na něj určitým - ať už pozitivním, nebo negativním - způsobem reagovat. V úvodní části knihy je podán vývoj poznání od antiky po současnost a s ním spjatá vzrůstající úloha vědy ve společnosti, jež si vyžádala vznik vědního oboru filozofie a metodologie vědy. Rozvojem této disciplíny ve dvacátém století se zabývá druhá část práce. Autor v ní analyzuje základní koncepce vědy od novopozitivismu až k postmodernismu a ukazuje, že filozofie vědy není uzavřeným oborem, ale že pojetí vědy a vědeckosti, stejně jako okruh problémů, jimiž se věda a filozofie zabývají, se v čase proměňují. Kromě klasických koncepcí filozofie vědy, orientujících se především na přírodní vědy, je zkoumán i tzv. sociologický obrat ve filosofii vědy a otázka sociální determinace vědy. Syntéza přírodních a sociálních věd se dnes jeví jako jedna z priorit vědecké metodologie. Novým aspektům filozofie vědy se věnuje závěrečná část knihy. Vedle tradičních problémů realismu, pravdivosti a racionality se do centra pozornosti filozofie vědy dostává i téma člověka v jeho dimenzích sociálních a antropologických, a tím i otázky hodnot a hodnotových orientací, včetně etických zásad vědeckého výzkumu. Dílo je přehledným a hodnotným úvodem do filozofie vědy, nepostradatelným pro vysokoškolské studenty, vědecké pracovníky i všechny zájemce o současnou filosofii.
